agency,description,municipality,name,investment,status,latitude,longitude,created_by_id,updated_by_id,created_at,updated_at,deleted,progress
JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATÁN,REHABILITACIÓN DE SISTEMAS DE CAPTACIÓN  DE AGUA POTABLE DE LA LOCALIDAD DE CANTAMAYEC DEL MUNICIPIO DE CANTAMAYEC DEL ESTADO DE YUCATÁN.,Cantamayec,Cantamayec,3160126.81,FINALIZADA,20.43705848,-89.08570671,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Cantamayec,Cantamayec,640000,FINALIZADA,20.43705848,-89.08570671,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
SSY,ACCIONES DE MANTENIMIENTO DE INFRAESTRUCTURA EN EL CENTRO DE SALUD DE CANTAMAYEC,Cantamayec,Cantamayec,22736,FINALIZADA,20.43705848,-89.08570671,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"CONSTRUCCIÓN DE UN AULA DIDÁCTICA EN LA ESCUELA SECUNDARIA JOSEFA ORTÍZ DE DOMÍNGUEZ DE LA LOCALIDAD Y MUNICIPIO DE CELESTÚN, CCT. 31EES0081J.",Celestún,Celestún,1554249.5,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"EQUIPAMIENTO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  EN EL COLEGIO DE BACHILLERES PLANTEL CELESTÚN DE LA LOCALIDAD Y MUNICIPIO DE CELESTÚN, CCT. 31EMS0010Y.",Celestún,Celestún,46316.36,EN_PROCESO,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"EQUIPAMIENTO DE TIC PARA PLANTELES DEL SUBSISTEMA DE BACHILLERES
 DE LA LOCALIDAD 
 Y MUNICIPIO DE CELESTÚN
 CCT. 31EMS0010Y",Celestún,Celestún,29002.06,EN_PROCESO,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
INCCOPY,"REHABILITACIÓN DE PALAPA EN EL PARADOR ECO-TURÍSTICO, EN LA LOCALIDAD Y MUNICIPIO DE CELESTÚN, YUCATÁN.",Celestún,Celestún,1093452.77,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,"CONSTRUCCIÓN DE 30 ACCIONES  DE VIVIENDA EN EL MUNICIPIO DE CELESTÚN, EN EL ESTADO DE YUCATÁN.",Celestún,Celestún,4737625.44,EN_PROCESO,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IVEY,Construcción de 4 cuartos dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,582078.96,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 8 cuartos dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,1162226.48,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 9 cuartos dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,1309767.29,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 8 cuartos dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,1163917.76,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 3 cuartos dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,436559.22,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 2 cuartos dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,291039.46,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 1 cuarto dormitorio en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,147902.83,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 1 sanitario con biodigestor en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,153444.21,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 2 sanitarios con biodigestor en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,305950.16,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,Construcción de 2 sanitarios con biodigestor en la localidad de Celestún del municipio de Celestún,Celestún,Celestún,305945.32,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
